# Date, spot_meas, millis
2000-01-01T00:00:00Z, 249201, 14.44
2000-01-01T00:00:00Z, 250323, 13.25
2000-01-01T00:00:00Z, 251446, 12.25
2000-01-01T00:00:00Z, 252568, 11.50
2000-01-01T00:00:00Z, 253690, 10.88
2000-01-01T00:00:00Z, 254813, 10.31
2000-01-01T00:00:00Z, 255935, 9.88
2000-01-01T00:00:00Z, 257057, 9.50
2000-01-01T00:00:00Z, 258180, 9.13
2000-01-01T00:00:00Z, 259303, 8.81
2000-01-01T00:00:00Z, 260425, 8.50
2000-01-01T00:00:00Z, 261553, 8.31
2000-01-01T00:00:00Z, 262675, 7.94
2000-01-01T00:00:00Z, 263797, 7.69
2000-01-01T00:00:00Z, 264932, 7.44
2000-01-01T00:00:00Z, 266056, 7.25
2000-01-01T00:00:00Z, 267180, 6.94
2000-01-01T00:00:00Z, 268304, 6.75
2000-01-01T00:00:00Z, 269427, 6.56
2000-01-01T00:00:00Z, 270552, 6.38
2000-01-01T00:00:00Z, 271675, 6.19
2000-01-01T00:00:00Z, 272799, 6.00
2000-01-01T00:00:00Z, 273923, 5.88
2000-01-01T00:00:00Z, 275047, 5.75
2000-01-01T00:00:00Z, 276170, 5.56
2000-01-01T00:00:00Z, 277295, 5.44
2000-01-01T00:00:00Z, 278418, 5.25
2000-01-01T00:00:00Z, 279541, 5.19
2000-01-01T00:00:00Z, 280666, 5.06
2000-01-01T00:00:00Z, 281793, 4.94
2000-01-01T00:00:00Z, 282917, 4.81
